collection,_id,name,isCommon,current,proposed,source,confidence,reason,approved
exercises,710000000000000000000014,"Prisoner/Bodyweight Jumping Squat",true,"power; calisthenics","strength; calisthenics",synonym,high,"case-fold / pinned synonym map",true
exercises,710000000000000000000015,"Explosive Bodyweight Rows",true,"power; calisthenics","strength; calisthenics",synonym,high,"case-fold / pinned synonym map",true
exercises,6a514248d14834fc3bb847b3,"Shoulder External Rotation 90/90",false,"Mobility; Strength Training","mobility; strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a514336d14834fc3bb847b4,"Dumbbell Row",false,"Strength Training","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532fb72d70d50d1f9cd123,"Barbell Bench Press",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532fc52d70d50d1f9cd14e,"Barbell Deadlift",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532fc62d70d50d1f9cd151,"Sumo Deadlift",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532fc72d70d50d1f9cd154,"Trap Bar Deadlift",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532fc82d70d50d1f9cd157,"Rack Pull",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532fca2d70d50d1f9cd15d,"Pendlay Row",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532fd52d70d50d1f9cd184,"Push Press",true,"strength; power","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532ff42d70d50d1f9cd1e1,"Barbell Back Squat",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a532ff62d70d50d1f9cd1e7,"Box Squat",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a5330032d70d50d1f9cd20e,"Good Morning",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a5330062d70d50d1f9cd217,"Glute-Ham Raise",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a5330072d70d50d1f9cd21a,"Barbell Hip Thrust",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a5330082d70d50d1f9cd21d,"Barbell Glute Bridge",true,"strength; powerlifting","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a53301a2d70d50d1f9cd256,"Power Clean",true,"strength; power","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a53301b2d70d50d1f9cd259,"Kettlebell Swing",true,"strength; power","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a53301c2d70d50d1f9cd25c,"Kettlebell Clean and Press",true,"strength; power","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a53301e2d70d50d1f9cd265,"Farmer's Walk",true,"strength; power","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a53301f2d70d50d1f9cd268,"Sled Push",true,"strength; power; cardio","strength; cardio",synonym,high,"case-fold / pinned synonym map",true
exercises,6a5330202d70d50d1f9cd26b,"Box Jump",true,"power","strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a5330212d70d50d1f9cd26e,"Medicine Ball Slam",true,"power; cardio","strength; cardio",synonym,high,"case-fold / pinned synonym map",true
exercises,6a5330222d70d50d1f9cd271,"Battle Rope Waves",true,"cardio; power","cardio; strength",synonym,high,"case-fold / pinned synonym map",true
exercises,6a55306fa63a5c9bd5d9323e,"180° Band Pull Apart (With External Rotation)",false,"Mobility","mobility",synonym,high,"case-fold / pinned synonym map",true
exercises,6a553072a63a5c9bd5d93247,"Dip Scapula Shrugs (Depression-Elevation) + Hold at the Top",false,"Calisthenics","calisthenics",synonym,high,"case-fold / pinned synonym map",true
exercises,6a553072a63a5c9bd5d9324a,"Active to Passive Hang (Elevation-Depression) + Hold at the Top",false,"Calisthenics","calisthenics",synonym,high,"case-fold / pinned synonym map",true
